Sr_No,Date,Startup_Name,Domain,Idea_Type,Target_Market,Min_Budget_INR,Max_Budget_INR,Ideal_Team_Size,Market_Demand_Score,Competition_Level,Growth_Rate_Pct,Technical_Complexity,Execution_Difficulty,Environmental_Impact,Social_Impact_Score,Sustainability_Score,Success_Rate,Risk_Level,Failure_Reasons,City_Location,Lead_Investor,Investment_Stage,Amount_INR,Year
1,26/01/2024,QuizGenius Labs,EdTech,School LMS,Urban,500000,2000000,25,72,High,22.7,Low,46,Low,80,72,25,Medium,Post-COVID demand drop,Pune,Owl Ventures,Seed,181025578,2024
2,15/12/2025,FitLife Network,HealthTech,Diagnostic AI,Urban,2000000,150000000,5,82,Medium,24.6,High,76,Low,98,83,34,Medium,Doctor onboarding,Pune,Accel,Series C,16548637796,2025
3,16/02/2024,TestAce Platform,EdTech,Language Learning,Pan-India,500000,2000000,15,78,High,20.9,Low,56,Low,85,81,27,Medium,Post-COVID demand drop,Chennai,WestBridge,Seed,161623852,2024
4,12/08/2024,SpaceFinder Network,Real Estate,Co-working,Tier 1,2000000,1000000000,40,73,Medium,8.7,Low,75,Medium,68,70,24,High,Regulatory complexity,Bangalore,Elevation,Series C,16255831269,2024
5,12/08/2024,EcoGrid Plus,CleanTech,EV Manufacturing,Urban,2000000,20000000,12,80,Low,49.8,High,78,Low,97,86,32,High,Policy dependence,Hyderabad,Nuveen,Series D,48013934780,2024
6,24/04/2024,ZeroCarbon AI,CleanTech,Battery Swapping,Tier 1,2000000,500000000,80,80,Low,42.7,High,68,Low,98,89,26,High,High capex,Delhi,Accel,Series D,9223117416,2024
7,29/02/2024,SocialShop Hub,E-Commerce,Social Commerce,Pan-India,20000000,100000000,10,87,High,21.5,Low,60,Medium,63,66,27,High,Unit economics,Chennai,Accel,Series E,50179927202,2024
8,10/09/2024,EduPath Technologies,EdTech,Coding Bootcamp,Pan-India,500000,10000000,3,72,High,24.2,Low,46,Low,87,72,36,Medium,Post-COVID demand drop,Bangalore,WestBridge,Series A,1777531884,2024
9,13/07/2024,TruckEasy Technologies,Logistics,B2B Freight,Urban,50000000,2000000000,50,71,High,21.4,Medium,63,Medium,61,67,31,High,Asset intensity,Mumbai,Accel,Series A,1674423162,2024
10,17/07/2025,DevFlow India,SaaS/Technology,AI/ML Platform,Global,500000,50000000,8,88,High,30.7,High,61,Low,72,69,33,Medium,Churn,Mumbai,Sequoia,Series B,7898595744,2025
11,29/02/2024,LiveBuy Plus,E-Commerce,D2C Brand,Rural,500000,10000000,50,87,High,17.0,Low,71,Medium,60,51,26,High,Logistics costs,Bangalore,Accel,Series D,48260441810,2024
12,26/09/2025,MoneyMap AI,FinTech,Tax Filing,Mumbai,2000000,50000000,6,85,High,22.1,Medium,67,Low,74,85,32,Medium,Regulatory challenges,Bangalore,Accel,Seed,362755480,2025
13,11/03/2024,CleanDrive Network,CleanTech,Energy Storage,Pan-India,100000000,500000000,80,91,Low,30.2,High,82,Low,92,95,23,High,High capex,Bangalore,Accel,Seed,150633248,2024
14,22/02/2024,KisanPro AI,AgriTech,Crop Insurance,Rural,300000,80000000,6,85,Low,37.7,Medium,65,Low,96,92,26,Medium,Last-mile connectivity,Ahmedabad,Beenext,Seed,120111911,2024
15,12/02/2024,WellnessHub Network,HealthTech,Teleconsultation,Tier 1,2000000,50000000,5,91,Medium,29.4,High,78,Low,94,76,28,Medium,Regulatory approvals,Hyderabad,Sequoia Capital,Seed,167382931,2024
16,26/01/2025,SkillUp Pro,EdTech,School LMS,Urban,3000000,30000000,8,77,High,17.9,Low,51,Low,92,80,26,Medium,Post-COVID demand drop,Delhi,WestBridge,Series C,23833255118,2025
17,20/03/2025,NewsFlash Network,Media/Entertainment,News App,Regional Language,300000,500000000,60,74,High,15.3,Medium,68,Low,55,68,27,High,Monetisation difficulty,Delhi,Lightspeed,Series C,18142630001,2025
18,12/11/2024,SpaceFinder AI,Real Estate,Smart Homes,Corporate,50000000,200000000,12,78,Medium,14.6,Low,77,Medium,67,64,24,High,Regulatory complexity,Delhi,Sequoia,Series C,14597412886,2024
19,05/11/2025,HealthFirst Labs,HealthTech,Genomics,Corporate Wellness,5000000,10000000,8,89,Medium,22.7,High,71,Low,87,72,25,Medium,Regulatory approvals,Chennai,Bessemer,Seed,360745634,2025
20,31/05/2024,TrendHub India,E-Commerce,Social Commerce,Urban,2000000,50000000,50,86,High,12.5,Low,62,Medium,58,64,20,High,Unit economics,Chennai,DST Global,Series D,45583353571,2024
21,22/09/2024,AutoBot Labs,SaaS/Technology,AI/ML Platform,SMB,2000000,200000000,25,83,High,34.8,High,62,Low,68,78,38,Medium,Pricing pressure,Hyderabad,Sequoia,Series A,2361805098,2024
22,22/04/2025,RentPro India,Real Estate,Online Broker,Corporate,200000000,1800000000,40,65,Medium,17.4,Low,74,Medium,74,68,26,High,Regulatory complexity,Pune,Helion,Series B,6554492319,2025
23,11/01/2026,LastMile Pro,Logistics,Warehousing,B2B,1000000,2000000000,100,88,High,21.3,Medium,62,Medium,80,68,22,High,Asset intensity,Delhi,Tiger Global,Series B,6765897285,2026
24,24/03/2024,DairyTech India,AgriTech,Dairy Tech,Rural,3000000,20000000,4,85,Low,22.6,Medium,60,Low,88,84,31,Medium,Farmer digital literacy,Delhi,Lightspeed,Series A,2293186468,2024
25,12/09/2025,GenomeScan Technologies,HealthTech,Fitness App,Tier 1,500000,10000000,12,92,Medium,24.8,High,71,Low,86,90,36,Medium,Data privacy issues,Bangalore,Sequoia Capital,Series B,2130269118,2025
26,13/01/2024,WindTech Pro,CleanTech,Solar Rooftop,Tier 1,20000000,2000000000,12,88,Low,34.4,High,81,Low,98,89,35,High,Policy dependence,Ahmedabad,SoftBank,Series D,47872398606,2024
27,16/09/2025,RegionalVoice Network,Media/Entertainment,OTT Platform,Youth,5000000,30000000,30,74,High,16.6,Medium,63,Low,65,60,24,High,Monetisation difficulty,Chennai,Matrix,Seed,403620880,2025
28,23/10/2025,IoTHub Pro,SaaS/Technology,Cloud Infrastructure,Global,500000,200000000,8,88,High,34.5,High,64,Low,78,79,43,Medium,Pricing pressure,Pune,Matrix,Series C,10247418429,2025
29,19/11/2024,QuickCart Plus,E-Commerce,Quick Commerce,Tier 2 Cities,2000000,1000000000,15,88,High,18.0,Low,58,Medium,61,59,21,High,Unit economics,Delhi,Accel,Seed,415884192,2024
